"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@instagram over 1 gb? what the hell guys? this is why i deleted the @facebook app https://t.co/ngqLDLFTVa",FALSE,0,"instagram",2019-01-17 18:48:01,FALSE,NA,"1085972022457483264","180505807","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bigpoppapat",0,FALSE,FALSE,NA,NA
"2","@Google @facebook @twitter You all have the bandwidth and data sources to coordinate getting donations to Federal w<U+2026> https://t.co/TSH8E9p8DL",FALSE,0,"Google",2019-01-17 18:48:00,TRUE,NA,"1085972018342842368","20536157","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vectorbabe",0,FALSE,FALSE,NA,NA
"3","@facebook - now what? Dont just yak! https://t.co/XwZ9zmUCpG",FALSE,0,"facebook",2019-01-17 18:47:35,FALSE,NA,"1085971914173091841","2425151","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fitch1124",0,FALSE,FALSE,NA,NA
"4","@facebook years and more I hope you return because it contains personal matters that concern me.",FALSE,0,"facebook",2019-01-17 18:47:30,FALSE,"1085970236652699648","1085971894397005826","2425151","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alaaelqasrawe",0,FALSE,FALSE,NA,NA
"5","RT @prattdbz: The reasons to delete @facebook just keep piling up
I Mentored Mark Zuckerberg. I Loved Facebook. But I Can't Stay Silent Abo<U+2026>",FALSE,0,NA,2019-01-17 18:47:23,FALSE,NA,"1085971863220731904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PatriciaAHenso1",1,TRUE,FALSE,NA,NA
"6","RT @Lugey6: It is unacceptable that @facebook refuses to reinstate me as Admin on  our account. I can only assume they intend to curtail my<U+2026>",FALSE,0,NA,2019-01-17 18:47:17,FALSE,NA,"1085971839380324356",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Petea1uk",37,TRUE,FALSE,NA,NA
"7","@facebook I have disabled my account from a non-scientific and I do not know that I violated the rights of publishi<U+2026> https://t.co/lHVsZLoBYu",FALSE,0,"facebook",2019-01-17 18:46:59,TRUE,"1085970236652699648","1085971763106926592","2425151","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alaaelqasrawe",0,FALSE,FALSE,NA,NA
"8","RT @Lugey6: It is unacceptable that @facebook refuses to reinstate me as Admin on  our account. I can only assume they intend to curtail my<U+2026>",FALSE,0,NA,2019-01-17 18:46:55,FALSE,NA,"1085971745398538240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KeynanSel",37,TRUE,FALSE,NA,NA
"9","RT @AllianceBE: This is appalling. We know @Lugey6 and the @Leavers_Britain team well + they are unpartisan, optimistic and friendly people<U+2026>",FALSE,0,NA,2019-01-17 18:46:49,FALSE,NA,"1085971722082373632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EmmaRoyd62",16,TRUE,FALSE,NA,NA
"10","RT @AllianceBE: This is appalling. We know @Lugey6 and the @Leavers_Britain team well + they are unpartisan, optimistic and friendly people<U+2026>",FALSE,0,NA,2019-01-17 18:46:45,FALSE,NA,"1085971706727014401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andybrexiteer",16,TRUE,FALSE,NA,NA
"11","@facebook My account has been created for 7 years and more",FALSE,0,"facebook",2019-01-17 18:46:32,FALSE,"1085970236652699648","1085971651626500096","2425151","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alaaelqasrawe",0,FALSE,FALSE,NA,NA
"12","RT @facebook: Go girls! <U+0001F4AA> https://t.co/az7PmXdQVy",FALSE,0,NA,2019-01-17 18:46:31,FALSE,NA,"1085971644286291968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Johnny12976",4,TRUE,FALSE,NA,NA
"13","@facebook My name is on Facebook Alaa Elqasrawe and this proves my builder's account",FALSE,0,"facebook",2019-01-17 18:46:20,FALSE,"1085970236652699648","1085971598031683585","2425151","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alaaelqasrawe",0,FALSE,FALSE,NA,NA
"14","Unjustifiable.

Sooner you retire this account, @facebook, the less egg you'll have on your face. https://t.co/A9nIatNm30",FALSE,0,NA,2019-01-17 18:46:07,FALSE,NA,"1085971546152357888",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RuariJM",0,FALSE,FALSE,NA,NA
"15","RT @tomwhx: This is obviously a mistake by @Facebook. Lucy is not someone who makes threats of violence or posts graphic content. Just sill<U+2026>",FALSE,0,NA,2019-01-17 18:46:07,FALSE,NA,"1085971543656673280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CPierceUK",11,TRUE,FALSE,NA,NA
"16","@facebook i am a girl.. give me my account back",FALSE,0,"facebook",2019-01-17 18:46:06,FALSE,"1085970236652699648","1085971539349127173","2425151","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","baraayyash",0,FALSE,FALSE,NA,NA
"17","@facebook To Facebook, I ask you to return my Facebook account and I have not violated any rights My account has be<U+2026> https://t.co/ATT1IBjK2i",FALSE,0,"facebook",2019-01-17 18:45:58,TRUE,"1085970236652699648","1085971507321409547","2425151","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alaaelqasrawe",0,FALSE,FALSE,NA,NA
"18","RT @Lugey6: If you had any doubt that @facebook wants to shut down dissenting voices - this is their current tactic. I probably wont get pi<U+2026>",FALSE,0,NA,2019-01-17 18:45:57,FALSE,NA,"1085971503903059970",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andybrexiteer",576,TRUE,FALSE,NA,NA
"19","@Lugey6 @facebook Someone must be telling Facebook, YouTube etc who to target.  I don<U+2019>t hear many from the left (no<U+2026> https://t.co/lv1Z7kPyZR",FALSE,0,"Lugey6",2019-01-17 18:45:56,TRUE,"1085964937111969792","1085971499612340226","58459981","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Rubytulips3",0,FALSE,FALSE,NA,NA
"20","RT @GirlsWhoCode: You can't be what you can't see! This Girls Who Code Club from Walter Payton in Chicago visited the city's @facebook offi<U+2026>",FALSE,0,NA,2019-01-17 18:45:53,FALSE,NA,"1085971485091684352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","erdeminhesap",1,TRUE,FALSE,NA,NA
"21","I think my @facebook account is acting up <U+0001F47F><U+0001F47F> bc I have a photography group, and I had 129 people in there, now I have 61 it shows",FALSE,0,NA,2019-01-17 18:45:50,FALSE,NA,"1085971475520282626",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","richhomiebla",0,FALSE,FALSE,NA,NA
"22","RT @Leavers_Britain: Regrettably, we will be launching legal action against @facebook if they fail to comply with their own Ts&amp;Cs as well a<U+2026>",FALSE,0,NA,2019-01-17 18:45:49,FALSE,NA,"1085971469191036932",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","halfbob",22,TRUE,FALSE,NA,NA
"23","RT @Lugey6: It is unacceptable that @facebook refuses to reinstate me as Admin on  our account. I can only assume they intend to curtail my<U+2026>",FALSE,0,NA,2019-01-17 18:45:43,FALSE,NA,"1085971443849015296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andybrexiteer",37,TRUE,FALSE,NA,NA
"24",".@facebook Shuts Hundreds of Russia-Linked Pages, Accounts

@SputnikInt #Propaganda

https://t.co/QIfiO0X55A https://t.co/eeaIpP57L9",FALSE,0,NA,2019-01-17 18:45:17,FALSE,NA,"1085971335665328129",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","worldnewsdotcom",0,FALSE,FALSE,NA,NA
"25","RT @Leavers_Britain: Regrettably, we will be launching legal action against @facebook if they fail to comply with their own Ts&amp;Cs as well a<U+2026>",FALSE,0,NA,2019-01-17 18:45:02,FALSE,NA,"1085971274210398208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MilesHolderUK",22,TRUE,FALSE,NA,NA
"26","Study claims @Facebook tracks you even if you don't have an account or logged off.  (Inquirer)  #SocialMedia<U+2026> https://t.co/ggTHiDH8ba",FALSE,0,NA,2019-01-17 18:45:01,TRUE,NA,"1085971268833165312",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","jamesvgingerich",0,FALSE,FALSE,NA,NA
"27","RT @StevenDean0: We always knew Mexico was a cesspool of corruption, lawlessness &amp; violence. Now goofy liberals want to allow illegal immig<U+2026>",FALSE,0,NA,2019-01-17 18:44:51,FALSE,NA,"1085971226470674432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ihatethemedia",1,TRUE,FALSE,NA,NA
"28","RT @luckytoddler: Ready to clear your home of unwanted, unused items and earn extra income at the same time? Sell them on @Facebook Marketp<U+2026>",FALSE,0,NA,2019-01-17 18:44:38,FALSE,NA,"1085971171097620486",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kdrabellamy",72,TRUE,FALSE,NA,NA
"29","RT @Leavers_Britain: Regrettably, we will be launching legal action against @facebook if they fail to comply with their own Ts&amp;Cs as well a<U+2026>",FALSE,0,NA,2019-01-17 18:44:35,FALSE,NA,"1085971160146296832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SturdyWendy",22,TRUE,FALSE,NA,NA
"30","RT @Lugey6: It is unacceptable that @facebook refuses to reinstate me as Admin on  our account. I can only assume they intend to curtail my<U+2026>",FALSE,0,NA,2019-01-17 18:44:31,FALSE,NA,"1085971140969926656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MikeNJohnson1",37,TRUE,FALSE,NA,NA
"31","RT @selectedwisdom: More details from <U+2066>@DFRLab<U+2069> on takedown Russia content on <U+2066>@facebook<U+2069> <U+201C>Facebook<U+2019>s Sputnik Takedown<U+200A><U+2014><U+200A>In Depth <U+2013> DFRLab<U+2026>",FALSE,0,NA,2019-01-17 18:44:30,FALSE,NA,"1085971140563079179",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tamparker6",70,TRUE,FALSE,NA,NA
"32","@Flamingo @mashable @DailyMail @Twitter @facebook @YouTube DUDE LOOK https://t.co/J3jtrVsF1W",FALSE,0,"Flamingo",2019-01-17 18:44:22,FALSE,"1085587316348018688","1085971103158337536","904778303747235840","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mariokart3456",0,FALSE,FALSE,NA,NA
"33","RT @Lugey6: It is unacceptable that @facebook refuses to reinstate me as Admin on  our account. I can only assume they intend to curtail my<U+2026>",FALSE,0,NA,2019-01-17 18:44:21,FALSE,NA,"1085971102902484992",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","paddy67a",37,TRUE,FALSE,NA,NA
"34","RT @GrahamBrookie: Good morning! 

Overnight @facebook took down pages @SputnikInt was operating secretly across the Baltics, Central Asia,<U+2026>",FALSE,0,NA,2019-01-17 18:44:02,FALSE,NA,"1085971021344079873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gyggy",269,TRUE,FALSE,NA,NA
"35","@YourLocalGP @IanJShephard @Leavers_Britain @JuliaHB1 @facebook Ok, ITV, then.
Or CBS in the USA.

Whatever. In a dominant position. <U+0001F644>",FALSE,0,"YourLocalGP",2019-01-17 18:44:00,FALSE,"1085851590676758530","1085971014725574657","18721323","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RuariJM",0,FALSE,FALSE,NA,NA
"36","RT @AllianceBE: This is appalling. We know @Lugey6 and the @Leavers_Britain team well + they are unpartisan, optimistic and friendly people<U+2026>",FALSE,0,NA,2019-01-17 18:43:57,FALSE,NA,"1085970998850146305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","paligap17",16,TRUE,FALSE,NA,NA
"37","RT @RentalProperty8: This studio opposite Fibbers advertised on @facebook for 4 people at <U+20AC>375pm each. 2 obviously have to bedshare. The ki<U+2026>",FALSE,0,NA,2019-01-17 18:43:45,FALSE,NA,"1085970949382508545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hexxem",7,TRUE,FALSE,NA,NA
"38","@KEEMSTAR We do need one @Twitter ! @instagram and @facebook have one!",FALSE,0,"KEEMSTAR",2019-01-17 18:43:42,FALSE,"1085647806029737986","1085970938737377280","872683897","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JShadowminer",0,FALSE,FALSE,NA,NA
"39","RT @Lugey6: It is unacceptable that @facebook refuses to reinstate me as Admin on  our account. I can only assume they intend to curtail my<U+2026>",FALSE,0,NA,2019-01-17 18:43:35,FALSE,NA,"1085970907061985281",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Rubytulips3",37,TRUE,FALSE,NA,NA
"40","@BrendanChilton @K69atie @facebook @Leavers_Britain @Lugey6 @labourleave So not only do they hire activists, they hire political activists.",FALSE,0,"BrendanChilton",2019-01-17 18:43:13,FALSE,"1085863284551634944","1085970814078513152","303232642","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mike51817379",0,FALSE,FALSE,NA,NA
"41","RT @camorris: @CharlotteAnne @facebook Only one Ive seen that was worth sharing: https://t.co/74UO5T9Fsc",FALSE,0,NA,2019-01-17 18:43:09,FALSE,NA,"1085970798660210689",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CharlotteAnne",1,TRUE,FALSE,NA,NA
"42","@Lugey6 @facebook Shocking behaviour from Facebook. But what do you expect from a company who employ Nick Clegg",FALSE,0,"Lugey6",2019-01-17 18:42:59,FALSE,"1085964937111969792","1085970758705254400","58459981","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarcTR4",0,FALSE,FALSE,NA,NA
"43","@UniumInc @facebook i think he's personally done a ton of damage to the technology industry.",FALSE,1,"UniumInc",2019-01-17 18:42:49,FALSE,"1085967860931780608","1085970716762136576","794553731777986562","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jason",0,FALSE,FALSE,NA,NA
"44","@facebook is shady https://t.co/LjTTNLbhcv",FALSE,0,"facebook",2019-01-17 18:42:39,FALSE,NA,"1085970673476882432","2425151","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Drowninbacon",0,FALSE,FALSE,NA,NA
"45","RT @GrahamBrookie: Good morning! 

Overnight @facebook took down pages @SputnikInt was operating secretly across the Baltics, Central Asia,<U+2026>",FALSE,0,NA,2019-01-17 18:42:37,FALSE,NA,"1085970664425705474",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VaskeleviciusK",269,TRUE,FALSE,NA,NA
"46","RT @facebook: Go girls! <U+0001F4AA> https://t.co/az7PmXdQVy",FALSE,0,NA,2019-01-17 18:42:35,FALSE,NA,"1085970657878388737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_steve3_",4,TRUE,FALSE,NA,NA
"47","@Albertfortrump @RealBasedMAGA @RubyRockstar333 @realDonaldTrump @FoxNews @marklevinshow @cnnbrk @NBCNews @ABC<U+2026> https://t.co/tqgdFMKwOz",FALSE,0,"Albertfortrump",2019-01-17 18:42:35,TRUE,"1085955143043035136","1085970656246681600","996088858407301122","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Regat69Mac",0,FALSE,FALSE,NA,NA
"48","RT @Leavers_Britain: Regrettably, we will be launching legal action against @facebook if they fail to comply with their own Ts&amp;Cs as well a<U+2026>",FALSE,0,NA,2019-01-17 18:42:27,FALSE,NA,"1085970621979394048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ljonesljones14",22,TRUE,FALSE,NA,NA
"49","RT @facebook: <U+201C>By late next yr, we expect to have our systems instrumented to release transparency + enforcement reports every quarter. It'<U+2026>",FALSE,0,NA,2019-01-17 18:42:11,FALSE,NA,"1085970556799856641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FNDKSH34",50,TRUE,FALSE,NA,NA
"50","RT @Leavers_Britain: Regrettably, we will be launching legal action against @facebook if they fail to comply with their own Ts&amp;Cs as well a<U+2026>",FALSE,0,NA,2019-01-17 18:42:10,FALSE,NA,"1085970553075310592",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","davyjo2111",22,TRUE,FALSE,NA,NA
"51","RT @facebook: Go girls! <U+0001F4AA> https://t.co/az7PmXdQVy",FALSE,0,NA,2019-01-17 18:42:05,FALSE,NA,"1085970529788592128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CorporateDem",4,TRUE,FALSE,NA,NA
"52","RT @billwheatley: @Girrali @BlakandBlack @facebook @RaidersCanberra Agree there is no room for #Racism in sport @RaidersCanberra should sto<U+2026>",FALSE,0,NA,2019-01-17 18:42:02,FALSE,NA,"1085970517662695424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BlakandBlack",1,TRUE,FALSE,NA,NA
