"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@osxg33kgirl @instagram I reported an account that had gore an dead dogs cuz it was randomly on explore an they sai<U+2026> https://t.co/RuV8BTy4Cp",FALSE,0,"osxg33kgirl",2019-01-17 18:48:05,TRUE,"1085900116752584704","1085972040325230597","21397626","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cherriesx",0,FALSE,FALSE,NA,NA
"2","@instagram over 1 gb? what the hell guys? this is why i deleted the @facebook app https://t.co/ngqLDLFTVa",FALSE,0,"instagram",2019-01-17 18:48:01,FALSE,NA,"1085972022457483264","180505807","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bigpoppapat",0,FALSE,FALSE,NA,NA
"3","@instagram make a nighttime mode for insta <U+0001F601><U+0001F601>",FALSE,0,"instagram",2019-01-17 18:47:35,FALSE,NA,"1085971913619443712","180505807","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dejjavvuu",0,FALSE,FALSE,NA,NA
"4","@Instagram give us a fucking nightmode u coward",FALSE,0,"instagram",2019-01-17 18:46:44,FALSE,NA,"1085971699697311744","180505807","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nikkxie_",0,FALSE,FALSE,NA,NA
"5","Hey, @instagram 

When are you gonna get your shit together and fix your glitchy ass app?",FALSE,0,NA,2019-01-17 18:45:59,FALSE,NA,"1085971511121448960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","godlessantihero",0,FALSE,FALSE,NA,NA
"6","RT @pranjalidwived6: what's happening all the fan accounts of @zainimam01 and @rathoreAditi_ are being taken down by Instagram randomly...<U+2026>",FALSE,0,NA,2019-01-17 18:45:34,FALSE,NA,"1085971407089979392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","avneilicious",18,TRUE,FALSE,NA,NA
"7","@instagram I need to contact you regarding an error that occurred on my account. I received a warning about some po<U+2026> https://t.co/J2EiCVLpPr",FALSE,0,"instagram",2019-01-17 18:45:27,TRUE,NA,"1085971378233397248","180505807","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sailorchim",0,FALSE,FALSE,NA,NA
"8","RT @MrsRazorRuddock: <U+0001F430> I am new to <U+2066>@instagram<U+2069> follow me mrsrazorruddock <U+270C><U+0001F3FC><U+0001F495> https://t.co/BFRv6MCKlI",FALSE,0,NA,2019-01-17 18:45:20,FALSE,NA,"1085971349984739329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TedMedhurst",1,TRUE,FALSE,NA,NA
"9","Hey it worked for @instagram, why not on Twitter too? https://t.co/bVrOwC27Mt",FALSE,1,NA,2019-01-17 18:45:04,FALSE,NA,"1085971281839673344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","suby15",0,FALSE,FALSE,NA,NA
"10","RT @GetInEarly: $FUSZ: Join the company with the most disruptive tech in years.some of the world's top corps already have. Uplist to NASDAQ<U+2026>",FALSE,0,NA,2019-01-17 18:45:01,FALSE,NA,"1085971270313959427",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","christicash11",10,TRUE,FALSE,NA,NA
